avance,c1,c2,energia
120,11.3704630799708,21.881238829972,22.1385175200358
121,11.2135858300102,21.341581089979,21.3980568999791
122,11.0629836699624,20.8458489800179,20.7203471800494
123,10.9186565999701,20.4003175900013,20.0928381799929
124,10.7868797100174,19.992436739961,19.5218049900078
125,10.6551028199935,19.6222064299683,18.9946974299832
126,10.5296010199536,19.2896266599519,18.5115154999903
127,10.4103743099693,18.9758721599593,18.0659841100451
128,10.2974226899691,18.6934931099589,17.6643783499889
129,10.1844710699689,18.4299393299822,17.2878729500121
130,10.0777945399529,18.1914859100136,16.9427430000274
131,9.97739309999235,17.9718577599974,16.6227134099793
132,9.88326675001598,17.7647797899495,16.3215090900264
133,9.79541548995243,17.5828021799809,16.0454051300101
134,9.70756422996021,17.4133747499806,15.7818513500334
135,9.62598805995215,17.2564974999486,15.5433979299934
136,9.54441189001543,17.1121704299563,15.3174946899931
137,9.47538589997569,16.9866686299878,15.1104167200165
138,9.40008481995179,16.8674419200035,14.9096138400241
139,9.33733391996754,16.7607653899875,14.7276362299842
140,9.27458301998329,16.6603639499556,14.5582087999839
141,9.2181072099832,16.5725126899634,14.4076066400074
142,9.16163139998311,16.4909365199553,14.2632795700151
143,9.11143067996717,16.4093603500186,14.1315026799911
144,9.06122995995124,16.3403343599789,14.0060008800226
145,9.0173043299908,16.2713083700105,13.8867741700383
146,8.97337869995902,16.2085574699549,13.7800976400223
147,8.93572815998274,16.1458065699706,13.6796961999904
148,8.89807762000646,16.0893307599705,13.5918449399982
149,8.86670217001434,16.0391300399546,13.503993680006
150,8.83532671995087,15.9826542299545,13.4286925999821
151,8.81022636001425,15.9387285999941,13.3596666100137
152,8.78512600000628,15.8885278799781,13.2906406200453
153,8.76630072998247,15.8446022500177,13.2341648100452
154,8.74747545995866,15.8006766199859,13.1839640900292
155,8.73492527999034,15.7630260800096,13.1337633700133
156,8.71610000996653,15.725375539962,13.096112830037
157,8.70982491998238,15.6877249999857,13.0584622899894
158,8.70354982999822,15.6563495499936,13.0270868399973
159,8.69727474001406,15.6249741000015,13.0019864799893
160,,15.5935986500094,12.9831612100368
161,,15.5622232000172,12.9706110299972
162,,15.5371228400093,12.9580608500289
163,,15.5120224800013,12.9517857600447
164,,15.4869221199933,12.9455106699892
165,,15.4680968499695,12.9392355800051
166,,15.4429964899616,
167,,15.4241712200091,
168,,15.4053459499853,
169,,15.392795770017,
170,,15.3739704999932,
171,,15.3614203199535,
172,,15.3488701399852,
173,,15.342595050001,
174,,15.3300448699614,
175,,15.3237697799772,
176,,15.3112196000089,
177,,15.3049445099534,
178,,15.3049445099534,
179,,15.2986694199693,
